"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Dragonfly or Damselfly","Calopteryx amata","Superb Jewelwing","SR","none","S1S2","G5","Buncombe","Historical","cold, shallow, rocky rivers"
"Vascular Plant","Caltha palustris var. palustris","Marsh-marigold","E","none","S1","G5T5","Buncombe","Historical","boggy sites"
"Crustacean","Cambarus lenati","Broad River Stream Crayfish","SR","none","S2","G2","Buncombe","Current","streams in the Broad River drainage (endemic to North Carolina)"
"Crustacean","Cambarus reburrus","French Broad Crayfish","T","none","S2","G3","Buncombe","Current","streams in the French Broad, Little Tennessee, and Savannah drainages (endemic to North Carolina)"
"Moss","Campylopus atrovirens var. atrovirens","Black Fish Hook Moss","SR-D","none","SH","G4G5TNR","Buncombe","Historical","near crevices and seepage zones on exposed granite"
"Moss","Campylostelium saxicola","Sandstone Grimmia","W7","none","S2?","G3G5","Buncombe","Current","acidic sandstone boulders and cliffs, and sandstone rock shelters"
"Natural Community","Canada Hemlock Forest (Typic Subtype)","","","none","S1S2","G3G4","Buncombe","Current","null"
"Vascular Plant","Cardamine clematitis","Mountain Bittercress","SR-T","none","S2S3","G3","Buncombe","Current","high elevation seeps, shaded outcrops, and streambanks"
"Vascular Plant","Carex albursina","White Bear Sedge","W7","none","S2","G5","Buncombe","Current","rich cove forests, over mafic or calcareous rocks"
"Vascular Plant","Carex biltmoreana","Biltmore Sedge","W1","none","S3","G3","Buncombe","Current","cliffs, outcrops, and granitic domes"
"Vascular Plant","Carex bromoides ssp. montana (syn. Carex bromoides)","Blue Ridge Brome Sedge","W7","none","S2S3","G5T3?","Buncombe","Historical","bogs, moist areas along streams, seepages in coves"
"Vascular Plant","Carex hitchcockiana","Hitchcock's Sedge","SR-P","none","S1","G5","Buncombe","Current","moist to dryish forests over calcareous or mafic rocks"
"Vascular Plant","Carex leptonervia","A Wood Sedge","W1","none","S3","G5","Buncombe","Current","rich cove forests and seepage slopes"
"Vascular Plant","Carex misera","Wretched Sedge","W1","none","S3","G3","Buncombe","Current","high elevation rock outcrops"
"Vascular Plant","Carex pedunculata var. pedunculata","Longstalk Sedge","SC-V","none","S2","G5TNR","Buncombe","Current","rich cove forests"
"Vascular Plant","Carex roanensis","Roan Sedge","SR-T","none","S2","G3","Buncombe","Current","forests"
"Vascular Plant","Carex ruthii","Ruth's Sedge","W1","none","S3","G3G4","Buncombe","Historical","seeps and bogs"
"Vascular Plant","Carex trichocarpa","Hairy-fruited Sedge","SC-V","none","S1","G4","Buncombe","Current","marshy bogs"
"Vascular Plant","Carex trisperma","Three-seeded Sedge","E","none","S1","G5","Buncombe","Historical","bogs, wet forests at high elevations"
"Natural Community","Carolina Hemlock Forest (Typic Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Bird","Catharus guttatus","Hermit Thrush","SR","none","S3B,S5N","G5","Buncombe","Current","spruce-fir forests; sparingly in northern hardwood forests [breeding evidence only]"
"Bird","Catharus ustulatus","Swainson's Thrush","SR","none","S1B,S5N","G5","Buncombe","Current","spruce-fir forests [breeding evidence only]"
"Moth","Catocala dulciola","Sweet Underwing","SR","none","S2S3","G3G4","Buncombe","Current","forests with hawthorns"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G3?","Buncombe","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina nigra","Dusky Azure","SR","none","S2","GU","Buncombe","Current","rich, moist deciduous forests; host plant -- goat's-beard (Aruncus dioicus)"
"Vascular Plant","Celastrus scandens","American Bittersweet","E","none","S2?","G5","Buncombe","Current","cove forests and rich woods"
"Vascular Plant","Celtis occidentalis","Mountain Hackberry","W7","none","S2","G5","Buncombe","Historical","rocky woodlands and mafic cliffs"
"Liverwort","Cephaloziella spinicaulis","A Liverwort","SR-P","none","S1","G4","Buncombe","Current","in crevices of high elevation rocky summits"
"Vascular Plant","Cerastium nutans","Nodding Chickweed","W7","none","S2S3","G5","Buncombe","Current","alluvial forests, bottomlands, moist forests"
"Bird","Certhia americana","Brown Creeper","SC","none","S3B,S5N","G5","Buncombe","Current","high elevation forests, favoring spruce-fir mixed with hardwoods [breeding evidence only]"
"Lichen","Cetrelia cetrarioides","Sea Storm Lichen","SR-D","none","S2","G4G5","Buncombe","Historical","on trees and mossy rocks in forests with an open understory; may prefer old growth or very mature forests"
"Natural Community","Chestnut Oak Forest (Boulderfield Subtype)","","","none","S1S2","G1G2","Buncombe","Current","null"
"Natural Community","Chestnut Oak Forest (Dry Heath Subtype)","","","none","S5","G5","Buncombe","Current","null"
"Natural Community","Chestnut Oak Forest (Herb Subtype)","","","none","S4","G4G5","Buncombe","Current","null"
"Natural Community","Chestnut Oak Forest (Mesic Subtype)","","","none","S3S4","G4","Buncombe","Current","null"
"Vascular Plant","Cinna latifolia","Slender Wood-reed","W7","none","S1S2","G5","Buncombe","Historical","high elevation forests and openings"
"Moss","Cirriphyllum piliferum","Long Leaf Mustache Moss","SR-P","none","S1","G5","Buncombe","Current","moist rocks, wet by seepage or waterfall spray"
"Vascular Plant","Cleistesiopsis bifaria","Small Spreading Pogonia","W1","none","S2","G3G4","Buncombe","Historical","savannas, dry meadows"
"Vascular Plant","Clematis occidentalis var. occidentalis","Mountain Clematis","SC-V","none","S1","G5T5","Buncombe","Historical","montane oak forests and northern hardwood forests"
"Bird","Coccyzus erythropthalmus","Black-billed Cuckoo","SR","none","S2B","G5","Buncombe","Current","deciduous forests, mainly at higher elevations [breeding evidence only]"
"Moss","Codriophorus acicularis","Dark Mountain Fringe Moss","SR-P","none","S1?","G5","Buncombe","Current","wet, shaded, acid rocks"
"Vascular Plant","Corallorhiza maculata var. maculata","Spotted Coralroot","SR-P","none","S1","G5T5","Buncombe","Current","northern hardwood forests"
"Vascular Plant","Corallorhiza wisteriana","Spring Coral-root","SR-O","none","S1","G5","Buncombe","Current","nutrient-rich forests, especially over limestone, mafic rocks or shell rich sands"
"Vascular Plant","Coreopsis latifolia","Broadleaf Coreopsis","W1","none","S3","G3","Buncombe","Current","cove forests and other rich woods"
"Bird","Corvus corax","Common Raven","W2","none","S3","G5","Buncombe","Current","cliffs or ledges for nesting; forests or fields (mainly at high elevations) for foraging [breeding evidence only]"
"Mammal","Corynorhinus rafinesquii rafinesquii","Rafinesque's Big-eared Bat","T","none","S2","G3G4T3","Buncombe","Historical","roosts in caves, mines, and hollow trees, usually near water"
"Freshwater Fish","Cottus carolinae","Banded Sculpin","SC","none","S1","G5","Buncombe","Historical","French Broad and Pigeon drainages"
"Vascular Plant","Crataegus pallens","Pale Hawthorn","T","none","S1","G1","Buncombe","Current","slopes and rock outcrops, especially over mafic substrates"
"Vascular Plant","Crataegus senta","A Hawthorn","SR-T","none","SH","G2","Buncombe","Historical","Rocky open ground, hardwood-pine forests, moist long-leaf savannahs"
"Vascular Plant","Crataegus succulenta","Fleshy Hawthorn","SR-P","none","S1S2","G5","Buncombe","Current","high elevation rocky summits, mesic forests, pastures, especially over basic soil or mafic substrate"
"Vascular Plant","Crocanthemum bicknellii","Plains Sunrose","SC-V","none","S1","G5","Buncombe","Current","rock outcrops, glades, fens"
"Vascular Plant","Crocanthemum propinquum","Creeping Sunrose","T","none","S1","G4","Buncombe","Historical","rock outcrops, glades"
"Reptile","Crotalus horridus","Timber Rattlesnake","SC","none","S3","G4","Buncombe","Current","wetland forests in the Coastal Plain; rocky, upland forests elsewhere"
"Amphibian","Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender","SC","none","S3","G3T2","Buncombe","Current","large and clear fast-flowing streams"
"Freshwater Fish","Cyprinella spiloptera","Spotfin Shiner","W5","none","S2","G5","Buncombe","Current","primarily New and French Broad drainages"
"Vascular Plant","Cypripedium parviflorum var. parviflorum","Small Yellow Lady's-slipper","SR-T","none","S1S2","G5T3T5","Buncombe","Current","upper slopes of rich high elevation forests"
"Moss","Cyrto-hypnum pygmaeum","Pygmy Cyrto-hypnum Moss","SR-O","none","S1?","G4G5","Buncombe","Current","Moist woods, moist rock, limestone, sandstone, quartzite"
"Vascular Plant","Cystopteris bulbifera","Bulblet Bladder Fern","W7","none","S1S2","G5","Buncombe","Current","calcareous rocks"
"Vascular Plant","Dactylorhiza viridis","Long-bracted Frog Orchid","E","none","S1","G5","Buncombe","Historical","seeps in cove forests"
"Vascular Plant","Dendrolycopodium hickeyi","Pennsylvania Ground-pine","SR-P","none","S2?","G5","Buncombe","Current","openings, balds, bog margins, and high elevation forests"
"Amphibian","Desmognathus organi","Northern Pygmy Salamander","SR","none","S2S3","G3","Buncombe","Current","spruce-fir and other high elevation forests; northeast of the French Broad River "
"Amphibian","Desmognathus santeetlah","Santeetlah Dusky Salamander","SR","none","S3S4","G3G4Q","Buncombe","Current","stream headwaters and seepage areas; southwestern mountains"
"Amphibian","Desmognathus wrighti","Southern Pygmy Salamander","SR","none","S3","G3","Buncombe","Historical","mid to high elevation forests, often in spruce-fir; west of the French Broad River"
"Vascular Plant","Dicentra eximia","Bleeding Heart","SR-P","none","S3","G4","Buncombe","Current","rock outcrops"
"Moss","Dichodontium pellucidum","Transparent Fork Moss","SR-P","none","SH","G5","Buncombe","Historical","seepage or spray zones of waterfalls on mafic or calcareous rocks"
"Moss","Dicranum fuscescens","Fuscous Moss","W7","none","S2?","G5","Buncombe","Current","on trees, logs, soil, rock, and humus in woodlands, spruce-fir forest, occasionally bogs"
"Moss","Dicranum undulatum","Bog Broom-moss","SR-D","none","S1","G5","Buncombe","Historical","bogs, seeps"
"Liverwort","Diplophyllum andrewsii","A Liverwort","W7","none","S2","G3","Buncombe","Historical","on soil or rocks on banks"
"Liverwort","Diplophyllum obtusatum","A Liverwort","SR-D","none","S1","G2?","Buncombe","Historical","on rock outcrops"
"Liverwort","Diplophyllum taxifolium var. taxifolium","A Liverwort","W7","none","S2?","G5T5","Buncombe","Historical","crevices and underledges of rock outcrops, mostly in spruce-fir forests at high elevations"
"Freshwater or Terrestrial Gastropod","Discus bryanti","Sawtooth Disc","SC","none","S2","G3","Buncombe","Historical","cove hardwoods"
"Vascular Plant","Draba ramosissima","Branching Draba","SR-P","none","S2","G4","Buncombe","Current","calcareous and mafic rock outcrops"
"Liverwort","Drepanolejeunea appalachiana","A Liverwort","SR-T","none","S1","G3","Buncombe","Current","on moist rock, rhododendron bark, and rhododendron leaves in humid gorges"
"Vascular Plant","Dryopteris cristata","Crested Woodfern","W1","none","S3","G5","Buncombe","Current","bogs, wet woods"
"Vascular Plant","Dryopteris goldiana","Goldie's Woodfern","W1","none","S3","G4G5","Buncombe","Current","rich, moist woods"
"Vascular Plant","Duravia sp. 2","Glade Knotweed","W7","none","S2S3","G5","Buncombe","Historical","glades and other thin soil over mafic rock"
"Vascular Plant","Elymus canadensis var. canadensis (syn. Elymus canadensis)","Great Plains Wild-Rye","W3","none","SU","G5T5","Buncombe","Historical","rich woods"
"Bird","Empidonax alnorum","Alder Flycatcher","SR","none","S2B","G5","Buncombe","Historical","high elevation shrub/sapling thickets [breeding evidence only]"
"Bird","Empidonax minimus","Least Flycatcher","W2","none","S3B","G5","Buncombe","Current","open hardwood forests, groves, streamside trees [breeding season only]"
"Bird","Empidonax traillii","Willow Flycatcher","W2","none","S3B","G5","Buncombe","Current","wet thickets in open country, often along streams in broad valleys [breeding season only]"
"Moss","Entodon sullivantii","Sullivant's Entodon","SR-O","none","S2","G3G4","Buncombe","Historical","on rocks or bark in humid gorges and cove forests"
"Vascular Plant","Epilobium ciliatum ssp. ciliatum","American Willow-herb","SR-P","none","S2","G5T5","Buncombe","Current","seeps and bogs"
"Freshwater Fish","Erimonax monachus","Spotfin Chub","T","T","S1","G2","Buncombe","Historical","Little Tennessee River; formerly in French Broad drainage"
"Freshwater Fish","Erimystax insignis","Blotched Chub","T","none","S2","G4","Buncombe","Current","primarily French Broad drainage"
"Vascular Plant","Eriocaulon compressum","Flattened Pipewort","","none","S3?","G5","Buncombe","Historical","bogs and shallow pools"
"Butterfly","Erora laeta","Early Hairstreak","SR","none","S2S3","G2G3","Buncombe","Current","deciduous forests, especially along edges of rich forests; host plants -- mainly American beech (Fagus grandifolia)"
"Vascular Plant","Eryngium integrifolium","Blue-flower Coyote-thistle","","none","S4","G5","Buncombe","Historical","Wet pinelands, meadows and savannas"
"Butterfly","Erynnis martialis","Mottled Duskywing","SR","none","S2","G3","Buncombe","Current","upland woods and wooded edges; host plant -- New Jersey tea (Ceanothus americanus)"
"Freshwater Fish","Etheostoma rufilineatum","Redline Darter","W5","none","S3","G5","Buncombe","Current","French Broad (Pigeon River basin), introduced in Little Tennessee, and Hiwassee drainages"
"Freshwater Fish","Etheostoma thalassinum","Seagreen Darter","SC","none","S3","G4","Buncombe","Historical","Catawba and Broad drainages"
"Vascular Plant","Eupatorium sessilifolium var. brittonianum","Britton's Eupatorium","W7","none","S1?","G5T3T5","Buncombe","Historical","rocky woodlands over mafic rocks"
"Vascular Plant","Euphorbia commutata","Cliff Spurge","T","none","S1","G5","Buncombe","Historical","thin soil around mafic or calcareous outcrops"
"Vascular Plant","Euphorbia purpurea","Glade Spurge","SR-T","none","S3","G3","Buncombe","Current","forests, especially over mafic rock"
"Butterfly","Euphydryas phaeton","Baltimore Checkerspot","SR","none","S2","G4","Buncombe","Current","bogs, marshes, wet meadows; rarely in upland woods; host plants -- turtlehead (Chelone) and false foxglove (Aureolaria)"
"Vascular Plant","Euthamia lanceolata","Northern Hairy Goldentop","W7","none","S1?","G5T5?Q","Buncombe","Historical","moist to dry riverbanks, bottomlands, and bog margins"
"Vascular Plant","Eutrochium maculatum var. maculatum","Spotted Joe-pye Weed","W7","none","S3?","G5T5","Buncombe","Historical","wet calcareous meadows, cove forests, grassy balds"
"Bird","Falco peregrinus anatum","American Peregrine Falcon","E","none","S1B,S2N","G4T4","Buncombe","Current","cliffs (nesting); coastal ponds and mudflats (foraging in winter) [breeding evidence; regular wintering sites]"
"Vascular Plant","Filipendula rubra","Queen-of-the-prairie","E","none","S1","G4G5","Buncombe","Historical","bogs, wet meadows"
"Moss","Fissidens appalachensis","Appalachian Pocket Moss","W7","none","S2S3","G2G3","Buncombe","Historical","submerged in rapids of moderate to high elevation mountain streams"
"Natural Community","Floodplain Pool","","","none","S2","G3","Buncombe","Current","null"
"Vascular Plant","Fothergilla major","Large Witch-alder","SR-T","none","S3","G3","Buncombe","Current","dry ridgetop or bluff forests, seepage wetlands, and Piedmont longleaf pine forests"
"Vascular Plant","Frangula caroliniana","Carolina Buckthorn","W1","none","S3","G5","Buncombe","Current","rich bottomlands and slopes"
"Natural Community","Fraser Fir Forest (Herb Subtype)","","","none","S1","G1","Buncombe","Current","null"
"Liverwort","Frullania appalachiana","A Liverwort","SR-L","none","S1?","G3G4","Buncombe","Current","on bark of hardwoods in spruce-fir forests"
"Liverwort","Frullania oakesiana","A Liverwort","W7","none","SH","G5","Buncombe","Historical","on bark of conifers or deciduous trees at high elevations"
"Arachnid","Fumontana deprehendor","a Harvestman","W3","none","S3?","G1G2","Buncombe","Current","rich cove forests"
"Freshwater Bivalve","Fusconaia subrotunda","Longsolid","E","T","S1","G3","Buncombe","Current","Hiwassee and French Broad drainages"
"Vascular Plant","Galium lanceolatum","Lanceleaf Wild Licorice","W7","none","S2","G5","Buncombe","Current","rich cove forests"
"Vascular Plant","Gaylussacia orocola","Appalachian Dwarf Huckleberry","E","none","S1","G1","Buncombe","Historical","bogs"
"Vascular Plant","Gentiana austromontana","Appalachian Gentian","W1","none","S2S3","G3","Buncombe","Historical","mountain forests and grassy balds"
"Vascular Plant","Geum radiatum","Spreading Avens","E","E","S2","G2","Buncombe","Current","high elevation rocky summits"
"Mammal","Glaucomys sabrinus coloratus","Carolina Northern Flying Squirrel","E","E","S2","G5T2","Buncombe","Current","high elevation forests, mainly spruce-fir"
"Butterfly","Glaucopsyche lygdamus","Silvery Blue","W2","none","S2S3","G5","Buncombe","Current","open upland woods, roadbanks, and borders; host plants -- primarily Carolina vetch (Vicia caroliniana), but also crown vetch (Coronilla varia)"
"Vascular Plant","Glyceria laxa","Lax Mannagrass","SC-V","none","S2","G5","Buncombe","Current","seeps"
"Freshwater or Terrestrial Gastropod","Glyphyalinia clingmani","Fragile Glyph","E","none","S1","G1G2","Buncombe","Historical","wet leaf litter associated with seepage runs; Black Mountains (endemic to North Carolina)"
"Freshwater or Terrestrial Gastropod","Glyphyalinia vanattai","Honey Glyph","SC","none","S1","G2G3","Buncombe","Current","wet leaf litter next to seeps or streams"
"Reptile","Glyptemys muhlenbergii","Bog Turtle","T","T(S/A)","S2","G2G3","Buncombe","Current","bogs, wet pastures, wet thickets"
"Vascular Plant","Goodyera repens","Lesser Rattlesnake Orchid","W1","none","S2S3","G5","Buncombe","Current","moist, acid forests, especially under rhododendrons and conifers"
"Natural Community","Grassy Bald (Grass Subtype)","","","none","S1","G1","Buncombe","Current","null"
"Lichen","Gymnoderma lineare","Rock Gnome Lichen","E","E","S3","G3","Buncombe","Current","high elevation rock outcrops, outcrops in humid gorges"
"Vascular Plant","Hackelia virginiana","Virginia Stickseed","SR-P","none","S2","G5","Buncombe","Current","woods and thickets with circumneutral soil"
"Bird","Haliaeetus leucocephalus","Bald Eagle","T","BGPA","S3B,S3N","G5","Buncombe","Current","mature forests near large bodies of water (nesting); rivers, lakes, and sounds (foraging) [breeding evidence only]"
"Vascular Plant","Hasteola suaveolens","Sweet Indian-plantain","E","none","S1","G4","Buncombe","Historical","bottomlands"
"Natural Community","Heath Bald (Catawba Rhododendron Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Vascular Plant","Helianthus occidentalis ssp. occidentalis","Naked-stem Sunflower","SC-H","none","SX","G5T5","Buncombe","Historical","Rocky or sandy flood-scoured riversides"
"Amphibian","Hemidactylium scutatum","Four-toed Salamander","SC","none","S3","G5","Buncombe","Current","pools, bogs, and other wetlands in hardwood forests"
"Butterfly","Heraclides cresphontes","Eastern Giant Swallowtail","SR","none","S2","G5","Buncombe","Current","primarily coastal in maritime forests or thickets; also in foothills and mountains near hoptree; host plants -- prickly-ash (Zanthoxylum), hoptree (Ptelea)"
"Butterfly","Hesperia leonardus","Leonard's Skipper","W2","none","S2S3","G4","Buncombe","Current","wooded borders and openings, brushy fields; host plants -- grasses"
"Butterfly","Hesperia metea","Cobweb Skipper","SR","none","S2","G4","Buncombe","Current","dry barren sites, such as powerline clearings and pine/oak sandhills; host plants -- mainly broomsedge (Andropogon)"
"Vascular Plant","Heuchera longiflora","Long-flower Alumroot","W7","none","S2","G4","Buncombe","Current","rich and rocky cove forests, especially over calcareous or mafic rocks"
"Vascular Plant","Heuchera parviflora var. parviflora","Grotto Alumroot","W1","none","S3","G4T4","Buncombe","Current","in deep shade under overhanging cliffs"
"Vascular Plant","Hexastylis contracta","Mountain Heartleaf","E","none","S1","G3","Buncombe","Current","acidic forests under rhododendron"
"Vascular Plant","Hexastylis rhombiformis","French Broad Heartleaf","SR-L","none","S3","G3","Buncombe","Current","cove forests"
"Natural Community","High Elevation Birch Boulderfield Forest","","","none","S2","G3","Buncombe","Current","null"
"Natural Community","High Elevation Granitic Dome","","","none","S3","G2G3","Buncombe","Current","null"
"Natural Community","High Elevation Red Oak Forest (Heath Subtype)","","","none","S3","G4","Buncombe","Current","null"
"Natural Community","High Elevation Red Oak Forest (Orchard Forest Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","High Elevation Red Oak Forest (Rich Subtype)","","","none","S3","G2","Buncombe","Current","null"
"Natural Community","High Elevation Red Oak Forest (Stunted Woodland Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Natural Community","High Elevation Red Oak Forest (Typic Herb Subtype)","","","none","S3","G4","Buncombe","Current","null"
"Natural Community","High Elevation Rocky Summit (High Peak Subtype)","","","none","S1","G1","Buncombe","Current","null"
"Natural Community","High Elevation Rocky Summit (Typic Subtype)","","","none","S2","G2","Buncombe","Current","null"
"Caddisfly","Homoplectra monticola","a caddisfly","SR","none","S1","G2G3","Buncombe","Current","scattered sites in central and southern mountains (Buncombe, Jackson, Macon)"
"Vascular Plant","Huperzia appressa","Appalachian Fir-clubmoss","W1","none","S3","G5","Buncombe","Current","high elevation rocky summits, seeps, fens"
"Vascular Plant","Hydrastis canadensis","Goldenseal","SC-V","none","S3","G3G4","Buncombe","Current","cove forests, other rich deciduous forests"
"Vascular Plant","Hydrophyllum macrophyllum","Largeleaf Waterleaf","W1","none","S3","G5","Buncombe","Current","rich woods, especially rocky calcareous forests and cliffs"
"Moss","Hygrohypnum closteri","Closter's Brook-hypnum","SR-T","none","S1","G3","Buncombe","Current","on rocks submersed in streams"
"Dragonfly or Damselfly","Hylogomphus adelphus","Mustached Clubtail","SR","none","S1S2","G5","Buncombe","Current","small rivers with rapids"
